1,Termoplastico,Termoplastico virgen sin reciclaje,4567,1
2,Piton,PEAD (Polietileno de alta densidad),1560,4
3,Empaquetadura,PVC (Policloruro de vinilo flexible),2409,5
4,Anillos centradores,PC (Policarbonato),861,2
5,Tuerca 1/2,ABS (acrilonitrilobutadienoestireno),742,3
6,Tuerca 7/8,ABS (acrilonitrilobutadienoestireno),6917,3
7,Niple,ABS (acrilonitrilobutadienoestireno),4806,3
8,Manguera flexible,PVC (Policloruro de vinilo flexible),8394,5
9,Embalaje,Bolsas y cajas,13457,4
10,Manubrio,Accesorio de zamack ABS y bronce,5931,3
11,Canopla,PEAD (Polietileno de alta densidad),6203,4