1,2022/04/21,12:35:01,2459,96441.98,11,2
2,2022/04/25,12:40:27,3656,56119.6,7,2
3,2022/04/29,14:35:43,7542,246774.24,5,2
4,2022/05/11,14:55:21,5543,99718.57,8,2
5,2022/05/17,15:35:07,3567,49060.25,10,3
6,2022/05/22,14:43:28,3802,85278.86,9,2
7,2022/06/01,18:32:25,2683,63801.74,3,2
8,2022/06/02,13:28:18,8913,269261.73,1,2
9,2022/06/12,19:27:31,7930,162961.5,6,2
10,2022/06/17,21:52:13,8426,254549.46,1,2
11,2022/06/25,12:45:11,1487,48654.64,5,2
12,2022/06/28,16:38:24,13634,446104.48,5,2
13,2022/07/07,14:15:51,32406,633861.36,2,2
14,2022/07/09,17:32:32,7893,309563.46,11,3
15,2022/07/25,13:39:27,2869,68224.82,3,3
16,2022/07/29,12:32:43,26902,412945.7,7,2
17,2022/08/10,18:45:07,8754,145579.02,4,2